Date,Open,High,Low,Close
01/27/2023,"17,877.20","17,884.75","17,493.55","17,604.35"
01/25/2023,"18,093.35","18,100.60","17,846.15","17,891.95"
01/24/2023,"18,183.95","18,201.25","18,078.65","18,118.30"
01/23/2023,"18,118.45","18,162.60","18,063.45","18,118.55"
01/20/2023,"18,115.60","18,145.45","18,016.20","18,027.65"
01/19/2023,"18,119.80","18,155.20","18,063.75","18,107.85"
01/18/2023,"18,074.30","18,183.75","18,032.45","18,165.35"
01/17/2023,"17,922.80","18,072.05","17,886.95","18,053.30"
01/16/2023,"18,033.15","18,049.65","17,853.65","17,894.85"
01/13/2023,"17,867.50","17,999.35","17,774.25","17,956.60"
01/12/2023,"17,920.85","17,945.80","17,761.65","17,858.20"
01/11/2023,"17,924.25","17,976.35","17,824.35","17,895.70"
01/10/2023,"18,121.30","18,127.60","17,856.00","17,914.15"
01/09/2023,"17,952.55","18,141.40","17,936.15","18,101.20"
01/06/2023,"18,008.05","18,047.40","17,795.55","17,859.45"
01/05/2023,"18,101.95","18,120.30","17,892.60","17,992.15"
01/04/2023,"18,230.65","18,243.00","18,020.60","18,042.95"
01/03/2023,"18,163.20","18,251.95","18,149.80","18,232.55"
01/02/2023,"18,131.70","18,215.15","18,086.50","18,197.45"
12/30/2022,"18,259.10","18,265.25","18,080.30","18,105.30"
12/29/2022,"18,045.70","18,229.70","17,992.80","18,191.00"
12/28/2022,"18,084.75","18,173.10","18,068.35","18,122.50"
12/27/2022,"18,089.80","18,149.25","17,967.45","18,132.30"
12/26/2022,"17,830.40","18,084.10","17,774.25","18,014.60"
12/23/2022,"17,977.65","18,050.45","17,779.50","17,806.80"
12/22/2022,"18,288.80","18,318.75","18,068.60","18,127.35"
12/21/2022,"18,435.15","18,473.35","18,162.75","18,199.10"
12/20/2022,"18,340.30","18,404.90","18,202.65","18,385.30"
12/19/2022,"18,288.10","18,431.65","18,244.55","18,420.45"
12/16/2022,"18,319.10","18,440.95","18,255.15","18,269.00"
12/15/2022,"18,614.40","18,652.90","18,387.70","18,414.90"
12/14/2022,"18,671.25","18,696.10","18,632.90","18,660.30"
12/13/2022,"18,524.40","18,617.25","18,490.20","18,608.00"
12/12/2022,"18,402.15","18,521.55","18,345.70","18,497.15"
12/09/2022,"18,662.40","18,664.70","18,410.10","18,496.60"
12/08/2022,"18,570.85","18,625.00","18,536.95","18,609.35"
12/07/2022,"18,638.85","18,668.30","18,528.40","18,560.50"
12/06/2022,"18,600.65","18,654.90","18,577.90","18,642.75"
12/05/2022,"18,719.55","18,728.60","18,591.35","18,701.05"
12/02/2022,"18,752.40","18,781.95","18,639.20","18,696.10"
12/01/2022,"18,871.95","18,887.60","18,778.20","18,812.50"
11/30/2022,"18,625.70","18,816.05","18,616.55","18,758.35"
11/29/2022,"18,552.45","18,678.10","18,552.15","18,618.05"
11/28/2022,"18,430.55","18,614.25","18,365.60","18,562.75"
11/25/2022,"18,528.45","18,534.90","18,445.10","18,512.75"
11/24/2022,"18,326.10","18,529.70","18,294.25","18,484.10"
11/23/2022,"18,325.20","18,325.40","18,246.00","18,267.25"
11/22/2022,"18,179.15","18,261.85","18,137.70","18,244.20"
11/21/2022,"18,246.40","18,262.30","18,133.35","18,159.95"
11/18/2022,"18,382.95","18,394.60","18,209.80","18,307.65"
11/17/2022,"18,358.70","18,417.60","18,312.95","18,343.90"
11/16/2022,"18,398.25","18,442.15","18,344.15","18,409.65"
11/15/2022,"18,362.75","18,427.95","18,282.00","18,403.40"
11/14/2022,"18,376.40","18,399.45","18,311.40","18,329.15"
11/11/2022,"18,272.35","18,362.30","18,259.35","18,349.70"
11/10/2022,"18,044.35","18,103.10","17,969.40","18,028.20"
11/09/2022,"18,288.25","18,296.40","18,117.50","18,157.00"
11/07/2022,"18,211.75","18,255.50","18,064.75","18,202.80"
11/04/2022,"18,053.40","18,135.10","18,017.15","18,117.15"
11/03/2022,"17,968.35","18,106.30","17,959.20","18,052.70"
11/02/2022,"18,177.90","18,178.75","18,048.65","18,082.85"
11/01/2022,"18,130.70","18,175.80","18,060.15","18,145.40"
10/31/2022,"17,910.20","18,022.80","17,899.90","18,012.20"
10/28/2022,"17,756.40","17,838.90","17,723.70","17,786.80"
10/27/2022,"17,771.40","17,783.90","17,654.50","17,736.95"
10/25/2022,"17,808.30","17,811.50","17,637.00","17,656.35"
10/24/2022,"17,736.35","17,777.55","17,707.40","17,730.75"
10/21/2022,"17,622.85","17,670.15","17,520.75","17,576.30"
10/20/2022,"17,423.10","17,584.15","17,421.00","17,563.95"
10/19/2022,"17,568.15","17,607.60","17,472.85","17,512.25"
10/18/2022,"17,438.75","17,527.80","17,434.05","17,486.95"
10/17/2022,"17,144.80","17,328.55","17,098.55","17,311.80"
10/14/2022,"17,322.30","17,348.55","17,169.75","17,185.70"
10/13/2022,"17,087.35","17,112.35","16,956.95","17,014.35"
10/12/2022,"17,025.55","17,142.35","16,960.05","17,123.60"
10/11/2022,"17,256.05","17,261.80","16,950.30","16,983.55"
10/10/2022,"17,094.35","17,280.15","17,064.70","17,241.00"
10/07/2022,"17,287.20","17,337.35","17,216.95","17,314.65"
10/06/2022,"17,379.25","17,428.80","17,315.65","17,331.80"
10/04/2022,"17,147.45","17,287.30","17,117.30","17,274.30"
10/03/2022,"17,102.10","17,114.65","16,855.55","16,887.35"
09/30/2022,"16,798.05","17,187.10","16,747.70","17,094.35"
09/29/2022,"16,993.60","17,026.05","16,788.60","16,818.10"
09/28/2022,"16,870.55","17,037.60","16,820.40","16,858.60"
09/27/2022,"17,110.90","17,176.45","16,942.35","17,007.40"
09/26/2022,"17,156.30","17,196.40","16,978.30","17,016.30"
09/23/2022,"17,593.85","17,642.15","17,291.65","17,327.35"
09/22/2022,"17,609.65","17,722.75","17,532.45","17,629.80"
09/21/2022,"17,766.35","17,838.70","17,663.60","17,718.35"
09/20/2022,"17,770.40","17,919.30","17,744.40","17,816.25"
09/19/2022,"17,540.65","17,667.20","17,429.70","17,622.25"
09/16/2022,"17,796.80","17,820.05","17,497.25","17,530.85"
09/15/2022,"18,046.35","18,096.15","17,861.50","17,877.40"
09/14/2022,"17,771.15","18,091.55","17,771.15","18,003.75"
09/13/2022,"18,044.45","18,088.30","18,015.45","18,070.05"
09/12/2022,"17,890.85","17,980.55","17,889.15","17,936.35"
09/09/2022,"17,923.35","17,925.95","17,786.00","17,833.35"
09/08/2022,"17,748.15","17,807.65","17,691.95","17,798.75"
09/07/2022,"17,519.40","17,650.75","17,484.30","17,624.40"
09/06/2022,"17,695.70","17,764.65","17,587.65","17,655.60"
09/05/2022,"17,546.45","17,683.15","17,540.35","17,665.80"
09/02/2022,"17,598.40","17,643.85","17,476.45","17,539.45"
09/01/2022,"17,485.70","17,695.60","17,468.45","17,542.80"
08/30/2022,"17,414.95","17,777.65","17,401.50","17,759.30"
08/29/2022,"17,188.65","17,380.15","17,166.20","17,312.90"
08/26/2022,"17,619.30","17,685.85","17,519.35","17,558.90"
08/25/2022,"17,679.00","17,726.50","17,487.45","17,522.45"
08/24/2022,"17,525.45","17,623.65","17,499.25","17,604.95"
08/23/2022,"17,357.35","17,625.55","17,345.20","17,577.50"
08/22/2022,"17,682.90","17,690.05","17,467.35","17,490.70"
08/19/2022,"17,966.55","17,992.20","17,710.75","17,758.45"
08/18/2022,"17,898.65","17,968.45","17,852.05","17,956.50"
08/17/2022,"17,868.15","17,965.95","17,833.35","17,944.25"
08/16/2022,"17,797.20","17,839.10","17,764.05","17,825.25"
08/12/2022,"17,659.65","17,724.65","17,597.85","17,698.15"
08/11/2022,"17,711.65","17,719.30","17,631.95","17,659.00"
08/10/2022,"17,566.10","17,566.10","17,442.80","17,534.75"
08/08/2022,"17,401.50","17,548.80","17,359.75","17,525.10"
08/05/2022,"17,423.65","17,474.40","17,348.75","17,397.50"
08/04/2022,"17,463.10","17,490.70","17,161.25","17,382.00"
08/03/2022,"17,349.25","17,407.50","17,225.85","17,388.15"
08/02/2022,"17,310.15","17,390.15","17,215.85","17,345.45"
08/01/2022,"17,243.20","17,356.25","17,154.80","17,340.05"
07/29/2022,"17,079.50","17,172.80","17,018.15","17,158.25"
07/28/2022,"16,475.35","16,947.65","16,746.25","16,929.60"
07/27/2022,"16,475.35","16,653.45","16,438.75","16,641.80"
07/26/2022,"16,632.90","16,636.10","16,463.30","16,483.85"
07/25/2022,"16,662.55","16,706.05","16,564.25","16,631.00"
07/22/2022,"16,661.25","16,752.25","16,610.90","16,719.45"
07/21/2022,"16,523.55","16,626.95","16,483.90","16,605.25"
07/20/2022,"16,562.80","16,588.00","16,490.95","16,520.85"
07/19/2022,"16,187.05","16,359.50","16,187.05","16,340.55"
07/18/2022,"16,151.40","16,287.95","16,142.20","16,278.50"
07/15/2022,"16,010.80","16,066.95","15,927.30","16,049.20"
07/14/2022,"16,018.85","16,070.85","15,858.20","15,938.65"
07/13/2022,"16,128.20","16,140.00","15,950.15","15,966.65"
07/12/2022,"16,126.20","16,158.75","16,031.15","16,058.30"
07/11/2022,"16,136.15","16,248.55","16,115.50","16,216.00"
07/08/2022,"16,273.65","16,275.50","16,157.90","16,220.60"
07/07/2022,"16,113.75","16,150.50","16,045.95","16,132.90"
07/06/2022,"15,818.20","16,011.35","15,800.90","15,989.80"
07/05/2022,"15,909.15","16,025.75","15,785.45","15,810.85"
07/04/2022,"15,710.50","15,852.35","15,661.80","15,835.35"
07/01/2022,"15,703.70","15,793.95","15,511.05","15,752.05"
06/30/2022,"15,774.50","15,890.00","15,728.85","15,780.25"
06/29/2022,"15,701.70","15,861.60","15,687.80","15,799.10"
06/28/2022,"15,757.45","15,892.10","15,710.15","15,850.20"
06/27/2022,"15,926.20","15,927.45","15,815.50","15,832.05"
06/24/2022,"15,657.40","15,749.25","15,619.45","15,699.25"
